Sell ID,Name,Type,Price
351,Arshdeep Singh,Bowler,"1,00,00,000"
352,Agnivesh Ayachi,All-Rounder,"1,00,00,000"
353,M. Ashwin,Bowler,"1,00,00,000"
354,Joe Denly,Batsman,"1,00,00,000"
355,Harry Gurney,Bowler,"2,00,00,000"
356,Shrikant Mundhe,All-Rounder,"1,00,00,000"
357,Prithvi Raj Yarra,Bowler,"1,00,00,000"
358,Anrich Nortje,Bowler,"1,00,00,000"
359,Lasith Malinga,Bowler,"2,00,00,000"
360,Yuvraj Singh,All-Rounder,"1,00,00,000"
361,Anmolpreet Singh,Batsman,"2,00,00,000"
362,Pankaj Jaswal,All-Rounder,"1,00,00,000"
363,Ashton Turner,All-Rounder,"2,00,00,000"
364,Liam Livingstone,All-Rounder,"2,00,00,000"
365,Shubham Ranjane,All-Rounder,"1,00,00,000"
366,Akshdeep Nath,All-Rounder,"1,00,00,000"
367,Prayas Ray Barman,All-Rounder,"1,50,00,000"
368,Himmat Singh,Batsman,"2,00,00,000"
369,Heinrich Klaasen,Wicket Keeper,"2,00,00,000"
370,Devdutt Padikkal,Batsman,"1,00,00,000"
371,Milind Kumar,All-Rounder,"1,00,00,000"
372,Vijay Shankar,All-Rounder,"1,00,00,000"
373,Gautam Gambhir,Batsman,"1,00,00,000"
374,Trent Boult,Bowler,"1,00,00,000"
375,Colin Munro,All-Rounder,"1,90,00,000"
376,Daniel Christian,All-Rounder,"1,50,00,000"
377,Prithvi Shaw,Batsman,"1,20,00,000"
378,Gurkeerat Singh Mann,All-Rounder,"2,00,00,000"
379,Avesh Khan,Bowler,"2,00,00,000"
380,Abhishek Sharma,All-Rounder,"2,00,00,000"
381,Manjot Kalra,Batsman,"1,00,00,000"
382,Sandeep Lamichhane,Bowler,"1,00,00,000"
383,KL Rahul,Batsman,"2,00,00,000"
384,Ravichandran Ashwin,All-Rounder,"2,00,00,000"
385,Aaron Finch,Batsman,"2,00,00,000"
386,Marcus Stoinis,All-Rounder,"2,00,00,000"
387,Christopher Gayle,Batsman,"2,00,00,000"
388,Ben Dwarshuis,Bowler,"1,40,00,000"
389,Manzoor Dar,All-Rounder,"1,00,00,000"
390,Pardeep Sahu,Bowler,"1,00,00,000"
391,Mitchell Starc,Bowler,"2,00,00,000"
392,Robin Uthappa,Wicket Keeper,"2,00,00,000"
393,Kuldeep Singh Yadav,Bowler,"2,00,00,000"
394,Mitchell Johnson,Bowler,"2,00,00,000"
395,Shubman Gill,Batsman,"1,80,00,000"
396,Ranganath Vinay Kumar,Bowler,"1,00,00,000"
397,Cameron Delport,All-Rounder,"1,00,00,000"
